"","Aridity_2020","Elevation","Enhanced_Vegetation_Index_2020","Precipitation_2020","Rainfall_2020","Mean_Temperature_2020","Malaria_Incidence_2020","Malaria_Prevalence_2020"
"381",67.11656189,67.85938263,0.368926734,198.4541321,2132.820068,27.06718826,0.424957216,0.520119846
"382",71.10905457,31.19921684,0.387241244,206.9322968,2462.453613,27.17465401,0.404051393,0.474387884
"383",67.44610596,64.54199219,0.399206161,199.7417603,2130.56958,26.97339439,0.401162773,0.461482108
"384",70.27593231,21.75292969,0.347315282,204.4102478,2626.70874,27.2002182,0.400655627,0.462709665
"385",64.97250366,73.19530487,0.385475665,195.0415802,2123.191406,27.02261353,0.422708154,0.507433951
"386",71.45666504,39.92285156,0.393399835,208.2364349,2639.796631,27.1536026,0.421298176,0.512680948
"387",66.19085693,90.50683594,0.364246547,196.0846863,2071.987305,27.04357719,0.440821499,0.560427129
"388",69.72265625,19.62890816,0.380831927,202.5588531,2628.208496,27.23372459,0.364072889,0.399845868
"389",72.53288269,30.24219131,0.424091935,211.5867767,2920.661621,27.12912369,0.383378148,0.438734472
"390",70.62709045,51.73632813,0.402742177,206.6199951,2479.557861,27.08207512,0.412344307,0.494643986
"391",68.89225006,67.77832031,0.286941648,202.6929169,2116.939453,27.04874229,0.376208544,0.421842098
"392",65.76612854,17.95410156,0.412499249,191.4125519,2514.373291,27.32599831,0.238488048,0.212013334
"393",65.76612854,17.95410156,0.412499249,191.4125519,2514.373291,27.32599831,0.238488048,0.212013334
"394",65.69345093,14.71875095,0.388409525,191.2808533,2480.242676,27.32851601,0.238087758,0.21149154
"395",58.69262314,18.73828506,0.402971596,174.4492188,2309.113281,27.23848343,0.32460627,0.322145432
"396",59.03425217,14.13378811,0.365052432,176.3870392,2885.051025,27.47023964,0.318213224,0.320929736
"397",63.39450836,7.760742664,0.343344957,185.2556,2415.300293,27.27161598,0.339175463,0.349574208
"398",63.3183403,18.40918159,0.367981702,188.4297791,2311.378418,27.45390701,0.291232377,0.284631431
"399",65.07939148,16.51855469,0.389158964,189.9476624,2512.243896,27.34991455,0.302744955,0.299079359
"400",62.3833313,17.72753906,0.410995334,182.6716156,2559.659668,27.26683998,0.36348033,0.380148351
"401",66.07666779,14.3476572,0.41778934,191.7198334,2497.619873,27.31037331,0.25534898,0.235254869
"402",66.07666779,14.3476572,0.41778934,191.7198334,2497.619873,27.31037331,0.25534898,0.235254869
"403",67.24269867,17.26855469,0.44969511,193.0367584,2546.641357,27.25594711,0.320459157,0.332577676
"404",67.11325836,18.44433594,0.458367527,192.6292419,2504.688965,27.25153351,0.342718303,0.365904957
"405",71.92353058,14.15918255,0.298078984,209.6645813,2550.555908,26.95026016,0.285479397,0.276152968
"406",46.87978363,58.71484756,0.326643735,159.6306763,1630.171631,27.05928802,0.337950885,0.343917549
"407",69.94936371,109.4589844,0.459009439,204.3539429,2537.501953,26.62644768,0.368079275,0.400520265
"408",45.41057587,151.5244141,0.327928722,155.2809143,1593.197998,26.73385429,0.354421258,0.324931175
"409",59.18027115,96.65722656,0.461068064,184.3064728,2338.475586,26.51085091,0.392023355,0.432882249
"410",71.92353058,14.15918255,0.298078984,209.6645813,2550.555908,26.95026016,0.285479397,0.276152968
"411",60.33947372,82.8261795,0.411102355,186.6062775,2267.900635,26.56511879,0.271018863,0.248475164
"412",56.71891785,38.91699982,0.414474189,179.8486938,2045.730957,26.78216171,0.368232965,0.388411611
"413",50.35340118,467.5673218,0.45074892,165.0975342,1791.755615,26.23446274,0.316167027,0.317091823
"414",48.5175209,108.7109375,0.402756125,162.1525574,1670.65686,26.66536522,0.34193328,0.359749824
"415",59.22281647,66.48730469,0.433656871,184.7962646,1950.8479,26.85694504,0.33280769,0.332502693
